date,district,code_02_allergy_insect,code_06_breathing,code_09_cardiac_arrest,code_10_chest_pain,code_12_seizure,code_13_blood_sugar,code_17_falls,code_18_headache,code_19_heart_problems,code_20_heat_cold_exposure,code_28_stroke_tia,code_31_loss_of_consciousness,day_of_week,is_weekend,month,day_of_year,year,week_of_year,is_public_holiday,covid_flag,doy_sin,doy_cos
2022-12-20,Treptow-Köpenick,0.14285714285714285,18.0,1.5714285714285714,4.714285714285714,3.2857142857142856,0.42857142857142855,17.714285714285715,0.42857142857142855,6.142857142857143,0.0,4.285714285714286,11.428571428571429,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-21,Charlottenburg-Wilmersdorf,0.2857142857142857,18.285714285714285,1.4285714285714286,6.714285714285714,2.7142857142857144,0.7142857142857143,24.428571428571427,0.2857142857142857,7.0,0.14285714285714285,5.857142857142857,12.142857142857142,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
2022-12-21,Friedrichshain-Kreuzberg,0.5714285714285714,10.714285714285714,0.8571428571428571,5.285714285714286,3.0,0.8571428571428571,9.571428571428571,0.42857142857142855,4.285714285714286,0.14285714285714285,2.2857142857142856,7.857142857142857,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
2022-12-21,Lichtenberg,0.14285714285714285,14.285714285714286,1.1428571428571428,3.2857142857142856,1.7142857142857142,1.0,18.428571428571427,1.0,6.0,0.2857142857142857,4.285714285714286,12.428571428571429,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
2022-12-21,Marzahn-Hellersdorf,0.42857142857142855,14.285714285714286,1.2857142857142858,7.285714285714286,2.2857142857142856,1.8571428571428572,14.714285714285714,0.8571428571428571,6.142857142857143,0.2857142857142857,3.5714285714285716,8.142857142857142,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
2022-12-21,Mitte,0.2857142857142857,22.285714285714285,2.2857142857142856,8.0,3.5714285714285716,2.2857142857142856,18.714285714285715,1.8571428571428572,8.571428571428571,0.2857142857142857,2.857142857142857,17.142857142857142,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
2022-12-21,Neukölln,0.7142857142857143,19.285714285714285,2.0,7.142857142857143,3.2857142857142856,0.42857142857142855,15.857142857142858,0.8571428571428571,4.857142857142857,0.2857142857142857,4.142857142857143,11.714285714285714,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
2022-12-21,Pankow,0.7142857142857143,15.714285714285714,1.5714285714285714,6.142857142857143,2.5714285714285716,1.5714285714285714,15.285714285714286,0.7142857142857143,5.857142857142857,0.14285714285714285,2.857142857142857,10.571428571428571,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
2022-12-21,Reinickendorf,0.5714285714285714,17.0,1.4285714285714286,6.285714285714286,1.8571428571428572,0.7142857142857143,14.714285714285714,0.7142857142857143,5.142857142857143,0.14285714285714285,4.285714285714286,11.0,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
2022-12-21,Spandau,0.42857142857142855,15.714285714285714,1.1428571428571428,6.0,2.4285714285714284,0.5714285714285714,12.714285714285714,0.8571428571428571,3.142857142857143,0.14285714285714285,5.285714285714286,9.428571428571429,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
2022-12-21,Steglitz-Zehlendorf,0.42857142857142855,15.571428571428571,1.0,3.7142857142857144,2.142857142857143,0.7142857142857143,16.714285714285715,0.14285714285714285,5.142857142857143,0.0,3.142857142857143,12.0,2,False,12,355,2022,51,0,0,-0.1754125938042784,0.9844950085880858
